platform,scenario_id,concurrency,n_requests,successful_requests,success_rate,benchmark_duration_s,req_throughput,output_tok_throughput,total_tok_throughput,total_input_tokens,total_output_tokens,cost_per_1k_output_tokens,estimated_total_cost_usd,cold_start_ttft_ms,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,mean_e2e_ms,p95_e2e_ms,p99_e2e_ms,mean_tps,std_tps
simplismart,E01,1,15,15,100.0,4.9,3.06,132.04,186.33,266,647,0.0001,6.5e-05,503.35,149.38,133.83,215.56,215.9,4.19,4.12,5.18,5.44,4.17,4.1,5.25,5.43,326.29,399.09,406.69,132.6,19.22
simplismart,E02,1,15,15,100.0,11.771,1.27,188.85,221.56,385,2223,0.0001,0.000222,503.35,141.06,134.25,219.58,235.21,4.37,4.2,4.77,4.78,4.36,4.2,4.76,4.77,784.44,862.58,864.62,189.51,10.42
simplismart,E03,5,15,15,100.0,2.302,6.52,289.75,405.3,266,667,0.0001,6.7e-05,503.35,347.16,149.77,1160.77,1165.89,4.59,4.27,6.02,6.23,4.55,4.25,5.97,6.19,548.56,1331.96,1343.66,109.36,41.66
simplismart,E04,5,10,10,100.0,3.825,2.61,390.07,457.52,258,1492,0.0001,0.000149,503.35,566.39,187.44,2258.54,3012.04,4.97,4.23,8.41,10.94,4.97,4.22,8.41,10.94,1304.29,2926.47,3644.88,150.92,55.88
simplismart,E05,10,10,10,100.0,4.099,2.44,487.92,590.88,422,2000,0.0001,0.0002,503.35,650.66,170.3,2270.03,2997.85,4.55,4.57,4.64,4.64,4.54,4.56,4.63,4.63,1555.27,3153.11,3905.57,156.34,49.94
fireworks,E06,1,15,15,100.0,20.314,0.74,32.24,45.34,266,655,0.0001,6.6e-05,4349.37,1135.86,1218.11,1425.64,1433.66,5.28,5.18,7.63,7.86,5.47,5.38,8.1,8.36,1354.12,1643.73,1666.01,33.27,8.1
fireworks,E07,1,15,15,100.0,23.889,0.63,93.68,110.09,392,2238,0.0001,0.000224,4349.37,911.76,819.13,1309.2,1441.13,4.59,4.6,5.03,5.15,4.62,4.63,5.05,5.18,1592.37,1991.19,2118.23,95.29,11.83
fireworks,E08,5,15,15,100.0,4.718,3.18,134.8,191.18,266,636,0.0001,6.4e-05,4349.37,1127.14,1245.24,1492.54,1495.43,6.16,5.82,8.87,9.35,6.34,5.86,9.62,10.24,1369.99,1697.25,1711.1,32.73,11.07
fireworks,E09,5,10,10,100.0,4.519,2.21,326.62,383.71,258,1476,0.0001,0.000148,4349.37,1266.98,1264.75,1847.08,1871.32,4.77,4.8,4.97,5.03,4.8,4.83,4.99,5.05,1966.26,2568.21,2590.35,77.69,15.34
fireworks,E10,10,10,10,100.0,2.701,3.7,740.47,896.7,422,2000,0.0001,0.0002,4349.37,1124.46,969.04,1681.64,1708.32,5.14,5.27,5.3,5.3,5.15,5.29,5.31,5.31,2146.53,2664.64,2687.19,95.36,14.06
